epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
5,0.8870798349380493,0.0010000000474974513,0.35437577962875366,0.9138655662536621,0.2671785354614258
6,0.9343487620353699,0.0010000000474974513,0.2197931557893753,0.901260495185852,0.2897335886955261
7,0.9212185144424438,0.0010000000474974513,0.24120007455348969,0.9474790096282959,0.16908356547355652
8,0.9401260614395142,0.0010000000474974513,0.1755649447441101,0.9495798349380493,0.12912534177303314
9,0.9585084319114685,0.0010000000474974513,0.13813231885433197,0.9558823704719543,0.12724271416664124
10,0.950630247592926,0.0010000000474974513,0.1499149352312088,0.9600840210914612,0.11191217601299286
11,0.9579831957817078,0.0010000000474974513,0.1411839872598648,0.9516806602478027,0.13986507058143616
12,0.9595588445663452,0.0010000000474974513,0.11413031071424484,0.9642857313156128,0.13896143436431885
13,0.9658613204956055,0.0010000000474974513,0.10965189337730408,0.9600840210914612,0.1481182724237442
14,0.9695377945899963,0.0010000000474974513,0.1081387996673584,0.9831932783126831,0.05903630703687668
15,0.963760495185852,0.0010000000474974513,0.12945674359798431,0.9474790096282959,0.15178442001342773
16,0.9690126180648804,0.0010000000474974513,0.10415112227201462,0.9348739385604858,0.2589792013168335
17,0.9784663915634155,0.0010000000474974513,0.07143943011760712,0.9600840210914612,0.15307007730007172
18,0.9747899174690247,0.0010000000474974513,0.08562719821929932,0.9642857313156128,0.1612396389245987
19,0.9795168042182922,0.0010000000474974513,0.07958786189556122,0.9642857313156128,0.10339725017547607
